alpha,beta,p_stay_noreward,p_stay_reward
0.10395042,0.093158329,0.52596423,0.54911826
0.10395042,0.093158329,0.52596423,0.54911826
0.01697013,0.36164647,0.50424243,0.5935394
0.028762465,0.40723247,0.50719012,0.60730429
0.02533891,0.40107688,0.50633439,0.60501747
0.031349503,0.38632729,0.50783673,0.60292719
-0.012944591,0.1928666,0.4967639,0.54485955
0.047358587,0.27525043,0.51183743,0.57995996
0.018682245,0.23521736,0.50467043,0.56313609
0.2466325,0.030590711,0.56134747,0.56886533
0.10779292,0.056019556,0.52692217,0.54086179
0.30558933,0.040876593,0.5758083,0.58576031
0.11860805,0.056875159,0.5296173,0.54375857
0.26070975,0.057721918999999997,0.56481076,0.57894199
0.23170475,-0.08378735,0.55766841,0.53691207
0.13533701,0.19332618,0.5337827,0.58143408
0.083774426,0.17233743,0.52093137,0.56368026
0.077144366,0.16270681,0.51927653,0.55967697
0.13784331,0.20503557,0.53440637,0.58488967
0.16876891,0.011666935,0.54209237,0.54498697
0.11344263,0.087527457,0.52833028,0.5500741
0.18520684,0.11020509,0.54616981,0.57332054
0.20539118,-0.12981343,0.55116804,0.51888545
0.23029343,-0.19638473,0.55732025,0.50847636
0.32346414,0.022495372,0.58016826,0.58563743
0.31509362,-0.061315637,0.57812807,0.56310617
0.32404431,-0.04874858,0.58030956,0.56839253
0.3106127,-0.096899811,0.57703481,0.55322579
0.14389986,0.071477304,0.53591302,0.55363711
0.23346441,0.028509696,0.55810243,0.56512151
0.18692628,0.11119783,0.54659597,0.57398388
0.17300849,0.0057967925,0.54314456,0.5445826
0.16259518,0.11235464,0.54055948,0.56830767
0.22679372,-0.042168396,0.55645665,0.54602567
0.1839889,0.092012716,0.5458679,0.56856569
0.16439302,0.091114206,0.54100595,0.56353155
0.10201459,0.18087917,0.52548155,0.57025552
0.092843119,0.1688844,0.52319412,0.56506091
0.16011151,0.11941165,0.53994259,0.56942932
0.070707964,0.19816577,0.51766963,0.56681639
0.12395106,0.09008957,0.53094815,0.5533068
0.10466415,0.086945927,0.52614218,0.54775649
0.20893158,0.10895945,0.55204371,0.57881019
0.27159173,0.025059872,0.56748363,0.57362377
0.19285536,0.0061564494,0.54806496,0.54958939
0.1378423,0.13958135,0.53440611,0.56891448
0.17991038,0.11053385,0.54485667,0.57210488
0.16191645,0.013322397,0.54039091,0.54369794
0.17084483,0.11058211,0.54260762,0.56989602
0.2174991,-0.020527919,0.55416143,0.5490842
0.24888456,0.029286211,0.56190193,0.56909771
0.18210803,0.040016876,0.54540161,0.55530403
0.088893728,0.19353052,0.52220881,0.57014046
0.20712298,-0.0031121397,0.55159642,0.55082655
0.20364244,-0.049049102,0.5507354,0.53857155
0.1900433,0.12139956,0.54736835,0.57723741
0.23271364,-0.043815054,0.55791727,0.54708472
0.23271364,-0.043815054,0.55791727,0.54708472
0.24933702,0.005863837,0.56201331,0.56345619
0.18716486,-0.07683348,0.5466551,0.5275549
0.24663272,0.0013934753,0.56134753,0.56169062
0.19189471,0.015601334,0.547827,0.55168869
0.22127143,0.070956417,0.55509326,0.57254146
0.22106746,0.075581004,0.55504288,0.573623
0.082023834,0.16021591,0.52049447,0.56026552
0.23527082,0.040915034,0.55854789,0.56861089
0.10022038,0.089653837,0.52503415,0.54732645
0.18254778,0.13602853,0.54551063,0.57897725
0.14234095,-0.036013773,0.53552528,0.52655678
0.11694202,0.13076382,0.52920223,0.56161175
0.14012499,-0.015248826,0.53497404,0.53117854
0.13547841,-0.021656159,0.53381789,0.52842488
0.1440944,0.15672282,0.5359614,0.57464228
0.11358062,0.098085787,0.52836467,0.55271992
0.23473462,-0.0062746316,0.55841567,0.55686786
0.20927248,-0.019229902,0.55212801,0.54736817
0.20927248,-0.019229902,0.55212801,0.54736817
0.21009134,-0.11360991,0.55233049,0.52410166
0.2870465,-0.0021305825,0.57127291,0.57075101
0.2870465,-0.0021305825,0.57127291,0.57075101
0.17184661,0.0097149273,0.54285624,0.54526611
0.14380141,0.074949416,0.53588853,0.55447067
0.24344899,0.003370906,0.56056342,0.56139361
0.21224639,-0.03152203,0.5528633,0.54505852
0.18728839,0.078752387,0.54668571,0.56612067
0.18546486,0.074442816,0.54623377,0.5646136
0.20552716,0.076789831,0.55120168,0.57011417
0.16227621,0.058281463,0.54048026,0.55491697
0.15548121,0.025073436,0.53879219,0.54501643
0.13854634,0.13892918,0.53458129,0.5689272
0.1422369,0.10460989,0.5354994,0.56140024
0.16912298,0.07954858,0.54218025,0.5618495
0.22339806,0.040174929,0.5556184,0.56551441
0.23785902,-0.014160757,0.55918597,0.55569252
0.26988309,-0.026511153,0.5670642,0.56054444
0.26822169,-0.078400356,0.56665628,0.54731335
0.19886823,0.01021216,0.54955385,0.55208051
0.061217446,0.19102578,0.51529958,0.56272856
0.21675449,0.043601442,0.55397745,0.56472379
0.21496431,-0.051093136,0.55353508,0.54087636
0.26321824,0.0055959147,0.56542724,0.56680176
0.21485916,-0.068877907,0.5535091,0.53643064
0.19541471,0.10918242,0.5486988,0.57556594
0.1580663,0.0010923628,0.5394345,0.53970588
0.23228733,0.060545092,0.55781212,0.57268942
0.15170262,0.079162312,0.53785309,0.55746124
0.1558393,0.21872666,0.53888117,0.59256181
0.32749059,-0.11439174,0.58114867,0.55307402
0.33111123,-0.080595543,0.58202973,0.56230343
0.34706001,-0.070970695,0.58590446,0.56858721
0.20995329,-0.076227551,0.55229636,0.5333817
0.29423636,-0.037162905,0.57303295,0.56391675
0.30133675,-0.018988801,0.57476926,0.57012176
0.097867783,0.011395189,0.52444744,0.5272886
0.090924537,0.11395792,0.52271549,0.55104219
0.26763285,-0.13214684,0.56651168,0.53381978
0.29838283,-0.057761551,0.57404714,0.55986675
0.26673516,-0.12182146,0.56629122,0.53616516
0.19407336,0.095813373,0.54836663,0.5719684
0.18455538,0.090682247,0.54600833,0.56837828
0.18455538,0.090682247,0.54600833,0.56837828
0.18035794,-0.019101085,0.54496766,0.54022708
0.21109237,0.16079438,0.552578,0.59191481
0.15962778,-0.04632481,0.53982242,0.52829548
0.15962778,-0.04632481,0.53982242,0.52829548
0.17526492,-0.068733579,0.54370441,0.52660767
0.25978328,-0.097181875,0.56458302,0.54056102
0.28721393,-0.12984418,0.57131392,0.53926145
0.27898001,-0.16059728,0.56929614,0.52956117
0.27143457,-0.20475025,0.56744506,0.51666491
0.31628592,-0.22004451,0.57841884,0.5240418
0.17001689,0.021991283,0.54240213,0.54785511
0.22197398,-0.11338756,0.55526675,0.52711996
0.21266947,-0.068812402,0.55296788,0.53590237
0.24972811,0.014904233,0.56210958,0.56577468
0.26511165,0.037426614,0.56589243,0.5750629
0.19131783,-0.05634551,0.5476841,0.53369195
0.20604337,0.10482049,0.55132938,0.5770961
0.14341918,0.07262261,0.53579346,0.55380135
0.15388132,0.029423931,0.5383946,0.54569842
0.24476537,0.049894419,0.56088766,0.57313654
0.19171571,0.05530419,0.54778266,0.56144286
0.14814348,0.12829932,0.53696828,0.56867391
0.1568939,0.14551095,0.53914321,0.5750303
0.10127303,0.10985141,0.52529664,0.55258593
0.090540624,0.095418043,0.52261971,0.54635616
0.25092664,0.063320964,0.56240457,0.57792171
0.3362675,-0.21842783,0.58328357,0.52942587
0.22079613,0.063727367,0.55497587,0.57065487
0.17926368,0.09790005,0.54469629,0.56885074
0.092350126,-0.082279815,0.52307114,0.50251756
0.13454908,0.096473843,0.53358662,0.55750022
0.29552799,-0.087504023,0.57334894,0.55181926
0.22459203,0.11585703,0.55591318,0.5842996
0.18873506,-0.060611767,0.5470442,0.53198708
0.15505918,-0.079502581,0.53868731,0.51888017
0.17913889,-0.074243569,0.54466534,0.52619981
0.26816239,-0.013174084,0.56664172,0.56340391
