"subject","block","trial","first_trial_in_block","first_trial","card_right","card_left","ch_card","ch_key","selected_offer","reward","Q_ch_card","Q_unch_card","Q_right_card","Q_left_card","exp_val_right","exp_val_left","exp_val_ch","exp_val_unch","PE_cards","alpha","beta","scarcity"
1,3,15,0,0,3,2,3,2,1,1,0.200282604404217,0.303720877111165,0.200282604404217,0.303720877111165,0.2,0.2,0.2,0.2,0.799717395595783,0.3,4,0.2
1,3,16,0,0,2,1,1,1,0,1,0.00887321880148806,0.303720877111165,0.303720877111165,0.00887321880148806,0.2,0.2,0.2,0.2,0.991126781198512,0.3,4,0.2
1,3,17,0,0,2,1,2,2,1,0,0.303720877111165,0.306211253161042,0.303720877111165,0.306211253161042,0.2,0.2,0.2,0.2,-0.303720877111165,0.3,4,0.2
1,3,18,0,0,2,3,3,1,0,1,0.440197823082952,0.212604613977816,0.212604613977816,0.440197823082952,0.2,0.2,0.2,0.2,0.559802176917048,0.3,4,0.2
1,3,19,0,0,2,1,2,2,1,0,0.212604613977816,0.306211253161042,0.212604613977816,0.306211253161042,0.2,0.2,0.2,0.2,-0.212604613977816,0.3,4,0.2
1,3,20,0,0,3,1,3,2,1,0,0.608138476158066,0.306211253161042,0.608138476158066,0.306211253161042,0.2,0.2,0.2,0.2,-0.608138476158066,0.3,4,0.2
1,3,21,0,0,2,1,1,1,0,0,0.306211253161042,0.148823229784471,0.148823229784471,0.306211253161042,0.2,0.2,0.2,0.2,-0.306211253161042,0.3,4,0.2
1,3,22,0,0,1,2,1,2,1,0,0.214347877212729,0.148823229784471,0.214347877212729,0.148823229784471,0.2,0.2,0.2,0.2,-0.214347877212729,0.3,4,0.2
1,3,23,0,0,3,1,3,2,1,0,0.425696933310647,0.15004351404891,0.425696933310647,0.15004351404891,0.2,0.2,0.2,0.2,-0.425696933310647,0.3,4,0.2
1,3,24,0,0,3,2,3,2,1,0,0.297987853317453,0.148823229784471,0.297987853317453,0.148823229784471,0.2,0.2,0.2,0.2,-0.297987853317453,0.3,4,0.2
1,3,25,0,0,1,2,1,2,1,0,0.15004351404891,0.148823229784471,0.15004351404891,0.148823229784471,0.2,0.2,0.2,0.2,-0.15004351404891,0.3,4,0.2
1,4,1,1,0,3,1,1,1,0,0,0.105030459834237,0.208591497322217,0.208591497322217,0.105030459834237,0.2,0.2,0.2,0.2,-0.105030459834237,0.3,4,0.2
1,4,2,0,0,3,1,3,2,1,0,0.208591497322217,0.0735213218839661,0.208591497322217,0.0735213218839661,0.2,0.2,0.2,0.2,-0.208591497322217,0.3,4,0.2
1,4,3,0,0,2,3,3,1,0,0,0.146014048125552,0.148823229784471,0.148823229784471,0.146014048125552,0.2,0.2,0.2,0.2,-0.146014048125552,0.3,4,0.2
1,4,4,0,0,3,2,2,1,0,1,0.148823229784471,0.102209833687886,0.102209833687886,0.148823229784471,0.2,0.2,0.2,0.2,0.851176770215529,0.3,4,0.2
1,4,5,0,0,3,2,3,2,1,1,0.102209833687886,0.40417626084913,0.102209833687886,0.40417626084913,0.2,0.2,0.2,0.2,0.897790166312114,0.3,4,0.2
1,4,6,0,0,1,3,1,2,1,0,0.0735213218839661,0.37154688358152,0.0735213218839661,0.37154688358152,0.2,0.2,0.2,0.2,-0.0735213218839661,0.3,4,0.2
1,4,7,0,0,1,2,2,1,0,0,0.40417626084913,0.0514649253187763,0.0514649253187763,0.40417626084913,0.2,0.2,0.2,0.2,-0.40417626084913,0.3,4,0.2
1,4,8,0,0,1,3,3,1,0,0,0.37154688358152,0.0514649253187763,0.0514649253187763,0.37154688358152,0.2,0.2,0.2,0.2,-0.37154688358152,0.3,4,0.2
1,4,9,0,0,3,1,3,2,1,0,0.260082818507064,0.0514649253187763,0.260082818507064,0.0514649253187763,0.2,0.2,0.2,0.2,-0.260082818507064,0.3,4,0.2
1,4,10,0,0,2,3,2,2,1,0,0.282923382594391,0.182057972954945,0.282923382594391,0.182057972954945,0.2,0.2,0.2,0.2,-0.282923382594391,0.3,4,0.2
1,4,11,0,0,2,1,2,2,1,0,0.198046367816074,0.0514649253187763,0.198046367816074,0.0514649253187763,0.2,0.2,0.2,0.2,-0.198046367816074,0.3,4,0.2
1,4,12,0,0,2,3,3,1,0,0,0.182057972954945,0.138632457471251,0.138632457471251,0.182057972954945,0.2,0.2,0.2,0.2,-0.182057972954945,0.3,4,0.2
1,4,13,0,0,3,1,3,2,1,1,0.127440581068462,0.0514649253187763,0.127440581068462,0.0514649253187763,0.2,0.2,0.2,0.2,0.872559418931538,0.3,4,0.2
1,4,14,0,0,3,1,3,2,1,0,0.389208406747923,0.0514649253187763,0.389208406747923,0.0514649253187763,0.2,0.2,0.2,0.2,-0.389208406747923,0.3,4,0.2
