subject,decay_rl,decay_h,rho_rl,rho_h
118,0.52580457,0.471730235,1.0101916,-0.91375445
119,0.564212205,0.6233857599999999,-0.0720596095,1.63815905
120,0.44035853,0.283297605,0.91403766,1.66450515
121,0.619431355,0.6187310100000001,1.2096843,1.148679
122,0.55997798,0.616569905,0.172344985,0.70311524
123,0.626292115,0.74568923,0.19046389,0.7517266
124,0.424885525,0.50952172,1.2513516,1.4549751
125,0.49257495,0.58005746,0.47216853000000003,-0.8865004599999999
126,0.63561259,0.71655504,0.7154850749999999,1.16337935
127,0.566562125,0.537128565,-0.423628815,-0.37743406999999995
128,0.5602710550000001,0.327230405,-0.23090662,0.7824427949999999
129,0.54047025,0.467462695,0.123445175,0.554690295
130,0.14506754,0.360108015,0.5781331949999999,0.45353627500000004
131,0.5833990499999999,0.52117795,1.3954168,-0.16881456
132,0.682718135,0.71482282,1.5543475,1.2556120000000002
133,0.470131485,0.43565964,1.1633404500000002,0.68886858
134,0.5557822699999999,0.5747990000000001,0.17325815,0.13750147499999998
135,0.5128801300000001,0.26933568500000005,0.753113955,0.826767395
136,0.59748648,0.59686347,0.32036854000000003,0.253647395
137,0.60833302,0.5777740549999999,0.767294055,0.6098206349999999
138,0.48577033999999997,0.279178795,0.480803785,1.20638095
139,0.674487525,0.6696936250000001,1.06085665,0.80153175
140,0.62886493,0.465178695,-0.345496645,0.27722473000000003
141,0.491019235,0.592744295,-0.26171496,1.2983644
142,0.55304821,0.35075951,-0.202417665,0.7026895
143,0.6948957099999999,0.580113165,0.9767613900000001,0.457595405
144,0.426108225,0.487969655,0.4574587,0.52858956
145,0.453634325,0.76012456,-0.9005964799999999,0.8190896400000001
146,0.5584190600000001,0.45444325,-0.21178538,1.4132232500000002
147,0.55065399,0.302206625,-0.07001523800000001,0.666483715
148,0.33523386,0.33992189500000003,1.2670702999999999,0.748937445
149,0.25660646,0.5102432299999999,1.40605835,0.28841054
150,0.405784525,0.5008922499999999,0.7899235250000001,0.648196295
151,0.2338597,0.525843635,1.38989545,0.806440735
152,0.475664895,0.536952055,0.8266315799999999,-0.0184530665
153,0.6611491199999999,0.697138795,0.57640258,0.730266715
154,0.45671325500000004,0.6024352749999999,1.4384888,1.5747554
155,0.69860406,0.542459075,1.1613606,-0.0395579115
156,0.39206481000000004,0.40212912,0.38375679500000004,0.5796995
157,0.501892645,0.48389508000000003,1.3649073500000002,1.3137039000000001
158,0.45330182,0.52497634,1.64326015,0.8508359299999999
159,0.55238104,0.48315098,0.25492139,0.40680918
160,0.506017245,0.412143655,0.20200731500000002,0.51961239
161,0.477421145,0.672399905,-1.0762459999999998,0.989679135
162,0.62806791,0.34863348,-0.540036925,0.78109776
163,0.5993668050000001,0.66265689,0.203117255,0.46113485
164,0.6256345400000001,0.682434345,0.7182830099999999,0.845286525
165,0.60405948,0.7169735850000001,0.194911685,1.38370125
166,0.364004425,0.561791825,1.1017323,-0.5314183100000001
167,0.5627708,0.6474058250000001,0.0486535195,0.27859939499999997
168,0.464907415,0.530122465,0.42922742999999997,0.0485609315
169,0.511171335,0.6431415549999999,1.03102315,0.85519566
170,0.411771345,0.36652784000000005,1.0365022499999998,1.3555188999999999
171,0.45279823500000005,0.59295244,0.700145345,0.5473680249999999
172,0.5767275249999999,0.5748388849999999,-0.6303448700000001,-0.94241332
173,0.5807858050000001,0.5671608699999999,0.70094587,-0.59632849
174,0.41785727500000003,0.56311356,0.57684611,0.617686505
175,0.48372315,0.217464605,0.36102462,1.0565639500000001
176,0.556677255,0.571556975,0.460007705,1.08499025
177,0.30980421999999996,0.5408663149999999,1.5997124,0.40776821500000004
178,0.52795389,0.438128865,0.67562587,-0.5091082149999999
179,0.586941535,0.57486555,0.92528862,0.29162562999999997
180,0.51344492,0.754272925,-0.13144081000000002,1.66750235
181,0.322691105,0.5128345750000001,0.84084333,0.44265312
182,0.62911134,0.50217038,0.6628530450000001,0.47315539500000003
183,0.43761102,0.32101504999999997,0.41284130500000005,0.9574341150000001
184,0.37267611,0.57175703,1.0696098,0.333620535
185,0.5310843350000001,0.46652048,1.4479201,0.696653645
186,0.5034514800000001,0.5760521949999999,1.20183075,1.0730384499999999
187,0.21063036,0.37855973499999995,0.9630960900000001,0.59228557
188,0.549567975,0.5938279399999999,-0.025777881,-0.32479663000000003
189,0.41123862499999997,0.39325001000000004,0.36241266,0.432764365
190,0.52423329,0.5891424700000001,0.16869378000000002,0.8654881649999999
191,0.199093175,0.42756021499999997,1.1160413999999999,1.10358795
192,0.5172535149999999,0.550595495,0.26333549,-0.12370619
193,0.576029425,0.5980504099999999,0.47340146,1.4075691
194,0.5501661250000001,0.5289843750000001,-0.17978057,-0.019744339
195,0.46356661,0.29114753,0.26413384,0.949766105
196,0.54492835,0.5619498949999999,0.00952246105,-0.265181
197,0.521079815,0.51281249,0.13007885,0.79032825
198,0.615920095,0.601157395,1.0929429499999999,0.289094375
199,0.44258677,0.374536965,1.27258235,0.9387146
200,0.509546955,0.56816733,1.34765915,1.9153954
