alpha_sbj[1],alpha_sbj[2],alpha_sbj[3],alpha_sbj[4],alpha_sbj[5],alpha_sbj[6],alpha_sbj[7],alpha_sbj[8],alpha_sbj[9],alpha_sbj[10],alpha_sbj[11],alpha_sbj[12],alpha_sbj[13],alpha_sbj[14],alpha_sbj[15],alpha_sbj[16],alpha_sbj[17],alpha_sbj[18],alpha_sbj[19],alpha_sbj[20],beta_sbj[1],beta_sbj[2],beta_sbj[3],beta_sbj[4],beta_sbj[5],beta_sbj[6],beta_sbj[7],beta_sbj[8],beta_sbj[9],beta_sbj[10],beta_sbj[11],beta_sbj[12],beta_sbj[13],beta_sbj[14],beta_sbj[15],beta_sbj[16],beta_sbj[17],beta_sbj[18],beta_sbj[19],beta_sbj[20],kappa_sbj[1],kappa_sbj[2],kappa_sbj[3],kappa_sbj[4],kappa_sbj[5],kappa_sbj[6],kappa_sbj[7],kappa_sbj[8],kappa_sbj[9],kappa_sbj[10],kappa_sbj[11],kappa_sbj[12],kappa_sbj[13],kappa_sbj[14],kappa_sbj[15],kappa_sbj[16],kappa_sbj[17],kappa_sbj[18],kappa_sbj[19],kappa_sbj[20],decay_sbj[1],decay_sbj[2],decay_sbj[3],decay_sbj[4],decay_sbj[5],decay_sbj[6],decay_sbj[7],decay_sbj[8],decay_sbj[9],decay_sbj[10],decay_sbj[11],decay_sbj[12],decay_sbj[13],decay_sbj[14],decay_sbj[15],decay_sbj[16],decay_sbj[17],decay_sbj[18],decay_sbj[19],decay_sbj[20]
0.05303225,0.0091766547,0.74582092,0.93303615,0.07933489,0.39381708,0.94536948,0.97969591,0.99429192,0.080611097,0.98298773,0.26981688,0.31492783,0.84740574,0.0021599458,0.95339344,0.96005563,0.99941428,0.99969253,0.18911183,2.4907932,0.79848326,2.6019547,0.80381184,0.17199249,0.48562285,0.65555704,2.0018073,0.94264499,2.4160853,0.8549701,1.8177578,1.8462373,0.36744848,1.2451004,1.7847257,0.41859042,0.98630897,0.59277978,0.60374349,0.46642077,-0.56467361,0.32679747,-0.82655059,0.55123706,-0.021829311,0.018758304,-0.28210675,0.71888786,0.16311022,0.036974356,-0.98205122,0.20637782,-0.0067467676,-0.047595067,-0.54914041,0.42349088,0.84017718,-0.88494637,0.39971199,0.01484227,0.46840694,0.97435332,0.010438069,0.85101424,0.30371892,0.016804642,0.99882928,0.07504854,0.92717737,0.9989542,0.024415143,0.99392607,0.62130646,0.17565566,0.21741185,0.88462979,0.0097023368,1.2370416e-4,0.88338688
0.096082421,0.023469725,0.5844544,0.78378956,0.23301187,0.17389375,0.87282627,0.94639457,0.96579391,0.10148135,0.95661331,0.23319622,0.02186061,0.69413617,0.095648364,0.99203493,0.63151701,0.95039415,0.99702074,0.28964916,3.7026118,0.65781602,1.8311428,1.1634757,0.22980506,0.35440824,0.43845387,1.4596424,1.2786464,1.1595306,0.38308029,1.7924979,0.78262207,0.49943958,0.73195617,0.88634155,0.76591181,0.97829456,0.31180893,0.91714281,0.31421122,-0.54693063,0.24337252,-1.2851174,0.76378895,0.066554516,0.12390054,-0.54592319,1.3025384,-0.38217618,0.20618163,-0.80027911,0.10165657,-0.007587826,0.19678787,-0.55144551,0.73186239,0.89648024,-1.0011557,0.71170186,0.13590706,0.47874116,0.97967842,0.082849614,0.82931977,0.20767781,0.51661168,0.8386713,0.21430932,0.65535505,0.99253431,0.043381207,0.99098802,0.48634717,0.93672928,0.11987862,0.70259307,0.10534138,0.0018112888,0.64112705
0.10100778,0.082871472,0.91591888,0.44798464,0.071639617,0.42717046,0.2297,0.6708304,0.82820407,0.10793888,0.79375734,0.37890501,0.066213938,0.53470905,0.13278869,0.58075935,0.15048094,0.38423307,0.73322954,0.30706146,3.7696707,0.44117303,2.9125996,0.85720699,0.63816999,0.34098132,0.52700584,2.2141177,1.1294349,3.101322,0.8086115,1.4818569,0.27581456,0.47007554,0.26924768,1.3081192,1.4048994,1.5539451,0.85807651,2.679811,0.60930799,-0.64219096,0.21684033,-0.64880936,0.52268239,0.35000751,-0.044077823,-0.48821426,1.3123188,-0.038856828,0.25825967,-0.48005078,0.21667268,0.17276277,-0.16981689,0.24951536,0.80378624,0.47725777,-0.68292602,0.31759092,0.28178778,0.745694,0.9950944,0.0017853339,0.87361169,0.34811005,0.85521357,0.978867,0.049675107,0.068547372,0.92063686,0.29147584,0.99875244,0.99579997,0.048795712,0.26307502,0.69577217,0.0030630402,3.6484267e-5,0.92983981
0.079366758,0.50937182,0.99981358,0.8884167,3.9293116e-4,5.4736645e-4,0.68875867,0.99852534,0.965126,0.15228106,0.944157,0.09952842,0.0021548478,0.041222152,0.023401799,0.99462277,0.18747911,0.30765095,0.26405828,0.54382276,6.4724892,1.1625369,2.6001855,0.70616017,1.2716179,0.64494941,0.92667441,1.5604936,1.6354571,0.8141897,0.56776627,4.5459142,0.83698191,2.1431733,0.65828182,1.1239525,2.0027771,3.0499968,0.47036983,0.61151163,0.4379143,-0.68774491,0.20176331,-0.9276926,0.94790134,0.23141681,0.017897991,-0.3780345,1.2436173,-0.66107674,0.070007776,-0.53712471,0.081842681,0.059762679,0.3879591,0.13668744,0.69180141,0.42197171,-0.84367874,0.10798818,0.022276261,0.46942003,0.9656719,0.033422785000000003,0.77700042,0.92937254,0.25324297,0.94339077,0.016857633,0.37083234,0.99403649,0.014594165,0.98508994,0.97469278,0.54785913,0.99969762,0.65269028,0.39946377,0.1218057,0.9966098
0.06986771,0.0038642011,0.91635953,0.94928775,0.0060582814,0.0072604758,0.12786318,0.94219842,0.97945008,0.064254673,0.91588727,0.27605889,0.19930584,0.13327607,3.214649e-5,0.93847088,0.49552104,0.74807706,0.30276277,0.039111077,5.5620898,0.41058697,2.8726592,0.94225066,0.78188007,2.6864628,2.0444856,2.0722037,1.3657429,4.2754019,0.57530312,3.3739064,1.8538722,0.36280935,2.2997563,1.3684421,1.4159185,1.7823486,0.9918806,4.2920962,0.38949287,-0.93159433,0.42800215,-0.99437647,0.32750452,0.19185487,0.16173072,-0.46320808,0.80486326,-0.37576396,0.33106666,-0.55657409,0.16778239,-0.13254768,-0.36027432,0.026541253,0.36728865,0.34393355,-0.98460156,0.78911321,0.46534123,0.52457217,0.96811666,0.11366535999999999,0.95934411,0.44152389,0.16761374,0.99514579,0.40171354,0.012431965,0.86322248,0.040284933,0.99928017,0.80206038,0.0013462351,2.1092043e-4,0.88544738,0.18052842,0.0052097415,0.78368774
0.091841472,0.0027679386,0.93839884,0.89207575,8.0857042e-4,0.12042707,0.99869893,0.79938672,0.93070735,0.1107479,0.97898678,0.52716325,0.0011784088,1.2273486e-5,8.9511551e-4,0.78909309,0.14853171,0.31425626,0.47970355,0.7525894,5.0488608,2.7939173,2.8741827,1.140612,0.60767834,0.49040012,0.65095532,2.6303732,1.0326529,0.89840396,0.50908408,1.6472749,0.28737896,0.55481729,0.1732509,1.4364601,1.6676091,2.0060786,0.49444839,0.89435639,0.4807219,-0.37434938,0.36783312,-0.99307939,0.59507126,0.16185259,0.088874346,-0.52281198,0.94320222,-0.58667279,0.21580973,-0.41673672,0.23503979,-0.12778461,-0.11678072,-0.076435341,0.66237192,0.58720729,-0.8611187,0.23382064,0.28697265,0.83237279,0.94801183,0.074655354,0.82458217,0.8957217,0.73715887,0.98075987,0.60918184,0.056473496,0.89977919,0.14190551,0.91483892,0.37186533,0.12292866,0.14092054,0.70159331,0.0099866114,0.13671587,0.9871953
0.11454921,0.6248575,0.64847634,0.78619866,0.089162784,0.17735019,0.16391341,0.6416303,0.7800341,0.60058488,0.56512702,0.86316613,0.28929273,0.89466315,0.12989477,0.9199339,0.17373881,0.51225294,0.68787945,0.069642394,3.1055762,0.041931199,6.3405055,0.51934005,0.58354776,0.25131956,2.0544479,2.9218702,1.1579984,0.26247271,0.23580326,0.86738059,1.5185956,0.52217861,0.46564003,1.7266979,1.8785733,1.5487376,0.32167619,4.999928,0.44836146,-1.2063889,0.3438189,-1.0139453,0.84824675,0.54255887,0.0017582252,-0.40517721,0.88437508,-0.1441477,0.27859864,-0.42115001,0.23848251,-0.1033338,0.30310656,-0.41873813,0.63401349,0.12434866,-0.9129685,0.24654279,0.10931658,0.31306567,0.93067888,0.0070927584,0.81033642,0.61926415,0.32721897,0.97413416,0.61634218,0.15031438,0.92560031,0.031662444,0.75992563,0.65470344,0.4048387,0.31600686,0.80758099,0.75934593,0.0043861911,0.92785203
0.055951898,0.13358311,0.59390039,0.20953405,0.21343222,0.2258575,0.805098,0.75522219,0.91399561,0.42991543,0.97693425,0.92310256,0.28559078,0.85489057,0.0093844231,0.84243485,0.23075529,0.83274798,0.18571918,0.58242683,10.143553,0.17335994,2.8200732,1.2961162,0.25811149,0.44457827,0.72544031,1.9972775,1.2233958,0.2035375,0.73517318,0.71063049,0.60489552,0.32418565,0.44072846,0.68631392,2.0804242,1.3694259,0.19875083,1.2847935,0.60271505,-0.71975992,0.46507806,-0.74640827,0.88434765,0.062828419,0.10760232,-0.43385329,0.67555119,-0.44152655,0.15476546,-0.41128385,0.20218008,-0.11226235,-0.063791429,0.35220731,1.0084785,0.62718316,-0.96488002,0.28406285,0.17942142,0.80671179,0.938881,0.41622783,0.78211626,0.95638563,0.33136602,0.97169587,0.7708236,0.66232083,0.97246725999999994,0.34841535,0.99750582,0.61273082,0.20460632,0.8180676,0.53571657,0.5379577,0.10082315,0.89693447
0.20894803,0.98817174,0.87603838,0.945417,0.84210673,0.033041409,0.50383396,0.59924532,0.87097935,0.29673311,0.60740306,0.30751107,0.87117414,0.46613319,0.76520901,0.83836378,0.50941822,0.63212803,0.91135174,0.077215267,0.96625782,0.45689096,2.6977071,0.22989726,0.19860485,0.62006842,0.63112818,2.3718034,0.73158486,1.2437405,0.29969925,1.2834766,0.20686004,0.9154751,0.11055036,0.47448652,0.89128592,1.9401896,0.60143904,0.055856833,0.23402197,-0.61953149,0.29345396,-0.94713056,0.41720262,0.68361158,0.071248274,-0.4871844,0.96293446,-0.22790525,0.15309487,-0.45048087,0.12940734,-0.23696574,0.0050772438,0.21422467,0.15522777,0.48692467,-0.43990256,0.44631772,0.96106678,0.6415277,0.97727643,0.035965502,0.9293811,0.75065115,0.99936258,0.98480909,0.66817636,0.21021235,0.98871016,0.40004838,0.95858287,0.55922015,0.97235451,0.99935176,0.98244039,0.18975589,0.26894621,0.8840815
0.069212687,0.96510636,0.82532017,0.88007414,0.8134159,0.90670812,0.99778218,0.89528818,0.96434526,0.4205166,0.98179913,0.1627414,0.94510466,0.79203482,0.29754577,0.88709119,0.31299587,0.89810275,0.3308174,0.99832059,3.838926,0.057196428,3.481131,0.8029649,0.082529927,0.032167965,0.27854832,1.4681176,0.600029,0.26903211,0.57766577,2.6508921,0.051749664,0.12508715,0.018464106,1.5775486,0.38979974,1.1877305,0.089550466,0.8866622,0.71312497,-0.66728072,0.33326166,-0.86717108,1.1347129,-0.022011507,0.094161258,-0.44762816,1.0481847,-0.53416401,0.18835597,-0.57273331,0.54734759,0.10178241,-0.030690894,0.052026621,0.73478957,0.55996316,-0.88301047,0.47485319,0.14610331,0.58061865,0.93595577,0.0023206722,0.70547735,0.81829231,0.71213858,0.96938261,0.19708346,0.30567841,0.94606487,0.0052242787,0.73494172,0.45818116,0.17602405,0.77176739,0.48857007,0.12700167,0.01733807,0.90863098
