mu_alpha,mu_beta,mu_kappa,mu_decay,sigma_alpha,sigma_beta,sigma_kappa,sigma_decay
0.60583869,-0.17126725,0.16143492,0.063687515,1.7884452,1.1776375,0.66962082,2.3959971
-0.026099968,-0.2270299,0.086822706,-0.60787856,1.3526171,0.86523092,0.38506982,4.2038548
0.94238645,-0.2372099,-0.0042841334,-0.50690176,1.7514909,1.1045623,0.70704293,2.5713146
3.9756176,-0.90741898,0.098861368,0.81558961,3.9489566,2.123183,0.69323078,5.222818
4.0152893,-0.55229422,0.14980843,1.5757373,4.1119868,1.5958259,0.62796206,5.2171429
4.1036195,-0.45764937,0.29598604,-0.97823092,4.2685559,1.3676334,0.81819283,3.3750577
0.81682968,-0.076271231,-0.065416422,1.5556228,3.569014,1.4311575,0.66800845,2.6563909
0.48572054,0.26535511,-0.13506063,1.4283584,2.7999201,1.0641219,0.80524323,3.0224918
-0.42510924,0.52864311,-0.060242323,0.92014113,5.1716022,1.2393057,0.67096198,2.8613268
-0.14606295,0.61428327,-0.098075424,0.8962994,5.2930458,1.8351723,0.73098864,2.3715524
-0.41111778,0.6608909,-0.1356596,0.057611759,5.5839545,1.0515173,0.80422741,3.8477233
-0.27911057,0.45606874,-0.0061119157,0.15976638,3.6353895,2.3458813,0.60727771,4.0067765
0.37752176,-0.70575423,0.01318418,-0.66131694,5.4475086,1.608833,0.65280846,3.4130457
0.33855319,-0.83736632,0.057593132,-0.11027289,6.5231677,1.6094029,0.48934263,3.4935775
0.59826457,-0.60805653,-0.065475182,0.027722588,3.066909,1.5800953,0.66135067,4.3840624
0.091308706,0.077776223,-0.0093436947,-0.20826487,3.6664361,1.089911,0.57327588,4.6274346
0.35263148,0.1530998,0.046012181,0.31008798,2.3062113,0.59331052,0.64454253,4.0867225
1.7158702,-0.10818781,0.066293874,-0.82662416,1.8588793,1.106401,0.60696812,3.3272461
1.0778919,-0.47332013,0.07927606,0.84672737,2.0873069,1.5618355,0.43838704,5.1955845
2.3885351,-0.49716712,0.023604969,0.56882233,3.550826,1.0721535,0.61574787,3.3165947
0.17448338,-0.94569431,-0.095740238,-1.2983185,2.8782172,1.1115046,0.54267826,3.8053713
0.057135674,-0.63261277,-0.11424844,0.0071782646,3.0367527,0.91437371,0.57333039,3.1484892
2.8933403,-0.44651923,0.012151692,0.32142023,3.206108,0.94789173,0.42245842,3.6876753
0.55868778,-0.43996465,-0.073644882,1.0076082,2.3056654,0.89958094,0.49609591,3.7359042
1.5509679,-0.041270443,0.015354446,0.70334588,3.009698,0.6278195,0.56712459,3.1510967
0.42344693,0.2704255,0.0409411,-0.26717184,1.830297,0.51676641,0.5904066,3.2340962
0.13068535,-0.026278636,0.071355478,0.053158143,5.5939456,0.52205214,0.43061856,2.5184936
1.3531188,0.12033831,0.0962116,-1.1353308,2.4338268,1.1016214,0.47869453,2.7053343
-0.30031074,0.19575734,0.23431729,0.2318239,4.3941476,0.33730385,0.44310204,2.7415837
0.36600247,-0.070831414,0.18713966,0.71729219,1.6640371,0.45801138,0.55640053,2.6524139
-0.42983039,0.17894468,0.23036117,0.31828868,4.6822212,0.54146344,0.80198068,3.9944728
-0.9813061,-0.032596242,0.17360323,1.0389364,3.2950501,0.75481532,0.94092139,4.0489953
0.58176207,-0.3977197,0.18682355,0.075820007,2.2815733,1.318576,0.70790381,3.4617135
0.9121496,-0.053124063,0.19725634,-0.38745074,2.518516,0.6594989,0.73674064,2.9876365
1.3893131,-0.35954375,0.2387483,-1.0737061,2.1094865,1.0722982,0.6906319,2.5798352
-0.6222109,0.098090101,0.13402049,-0.14810941,2.8465663,0.7714814,0.56193467,1.944266
0.17356353,0.44223476,0.10178785,-0.52953793,1.9738834,0.85757031,0.67051665,2.959326
0.42026286,-0.022444947,0.22611617,0.8502695,6.7073861,0.93257854,0.55790944,2.1904824
-0.8237241,-0.025100183,0.012119166,-0.14550637,2.2430005,1.0961939,0.38055176,5.1671733
-0.279891,-0.0039924551,0.034543187,-0.081419346,6.371912,0.44725105,0.74709428,2.3475598
-0.50679738,0.17302718,0.032911567,0.070229853,4.6177043,0.54336466,0.57839248,3.3795846
-0.54178424,0.26498216,-0.10545282,0.43730011,2.3700773,0.59003905,0.61613574,2.6819296
0.31423224,0.20520303,-0.0086158175,-0.030647589,2.8071362,0.51015343,0.60571592,2.459986
-0.13544319,-0.035552853,0.11803279,0.083774469,2.7843316,0.72189023,0.6267432,3.7295678
-0.75336,-0.0067807295,0.070926024,0.7361672,2.323896,1.303276,0.59252985,4.198308
-0.1299515,0.038499965,0.048269998,0.27634681,1.4560977,1.3405133,0.52006179,2.4276125
-0.038232613,-0.37940485,0.044325732,0.3194013,2.3608528,1.1234606,0.58782391,3.1349684
0.86006744,-0.56896626,0.0050142852,-0.33113663,1.5678376,0.95540472,0.6130118,2.6765701
-0.57956419,-0.065039204,0.085578317,1.0804433,3.7357304,0.96508932,0.69904683,4.1000392
-1.2405859,0.26818499,0.16755929,-0.14403101,2.213304,0.98798875,0.71409388,2.0701568
-0.06084584,-0.030802279,0.13485812,-0.38895135,3.3278016,0.85339995,0.73280448,4.7134083
-1.3401628,0.037834908,0.14908198,0.95661742,3.0387827,1.1828722,0.52854124,2.8915296
-0.78639097,0.1161376,0.26562218,1.8756162,3.9829636,1.3406466,0.55172201,2.9175091
-0.68451672,0.51059072,0.29153573,1.0702222,2.2548874,0.72374947,0.51150398,2.9528792
1.3579014,-1.1354861,0.16571762,1.4710195,5.4665489,1.9823719,0.51948867,3.3642429
1.4182822,-0.89526696,0.11346764,0.98209024,4.2814142,1.4351076,0.62969311,4.3785413
