participant,.draw,beta
6981e6c2e26c88d954f297eb,29,0.21540807
69829236d776a93cf3afa632,29,0.66316863
698341d57fe7b870bddf91b8,29,-1.1488622
6984a9246122d3bd4ca0833e,29,1.5191042
69d5525ec7afcfce08d8608b,29,0.29215977
69d555ce85e30d6215e559d9,29,1.8782187
69dac2125e535db5a698ea18,29,-0.090035342
69e913482ae5864d44e6387c,29,1.2252378
60f19a691466276fe085b461,30,0.87794254
61563a4b0def9000ccc976ec,30,-0.47895146
62ebe597372fdef388b734b3,30,0.40978232
667bd577710d52a05ac09036,30,1.2515365
69728435c9476fe76dd2ab2f,30,0.43555245
697a645e36e6f14eea2b396b,30,0.10218173
697caeea2ec1c2604535f8aa,30,1.0151586
6980792fded33a62e27ce7cc,30,1.6339485
