participant,.draw,beta
6984a9246122d3bd4ca0833e,12,1.0145384
69d5525ec7afcfce08d8608b,12,1.3840108
69d555ce85e30d6215e559d9,12,0.84496492
69dac2125e535db5a698ea18,12,0.033873474
69e913482ae5864d44e6387c,12,0.76901249
60f19a691466276fe085b461,13,0.49990234
61563a4b0def9000ccc976ec,13,0.45930914
62ebe597372fdef388b734b3,13,1.23096
667bd577710d52a05ac09036,13,2.0359855
69728435c9476fe76dd2ab2f,13,-0.33166617
697a645e36e6f14eea2b396b,13,0.30691246
697caeea2ec1c2604535f8aa,13,0.88383378
6980792fded33a62e27ce7cc,13,1.922265
69808775dc84b90f4adafb2f,13,1.566952
6980990e5c9007100eb282b6,13,0.75902651
6980d9a70a7862a47c69046d,13,2.1015738
6981150699107501d80e74b6,13,1.242852
6981e6c2e26c88d954f297eb,13,0.32143592
69829236d776a93cf3afa632,13,0.59122436
698341d57fe7b870bddf91b8,13,-1.5781454
6984a9246122d3bd4ca0833e,13,2.3228635
69d5525ec7afcfce08d8608b,13,-0.24715956
69d555ce85e30d6215e559d9,13,0.57921516
69dac2125e535db5a698ea18,13,0.15702818
69e913482ae5864d44e6387c,13,1.6223413
60f19a691466276fe085b461,14,0.65097354
61563a4b0def9000ccc976ec,14,-0.12897637
62ebe597372fdef388b734b3,14,1.3711238
667bd577710d52a05ac09036,14,1.4449842
69728435c9476fe76dd2ab2f,14,-0.13791802
697a645e36e6f14eea2b396b,14,0.15775396
697caeea2ec1c2604535f8aa,14,1.4272238
6980792fded33a62e27ce7cc,14,2.5296647
69808775dc84b90f4adafb2f,14,0.86189267
6980990e5c9007100eb282b6,14,0.70551311
6980d9a70a7862a47c69046d,14,1.8363937
6981150699107501d80e74b6,14,2.1075358
6981e6c2e26c88d954f297eb,14,0.54263635
69829236d776a93cf3afa632,14,1.6253451
698341d57fe7b870bddf91b8,14,-0.65444354
6984a9246122d3bd4ca0833e,14,1.2311622
69d5525ec7afcfce08d8608b,14,1.5712077
69d555ce85e30d6215e559d9,14,1.5516843
69dac2125e535db5a698ea18,14,0.46691551
69e913482ae5864d44e6387c,14,0.84038197
