alpha,beta,p_stay_noreward,p_stay_reward
-0.95142686,0.66177549,0.27859796,0.42808922
-0.98579595,0.70017642,0.27174326,0.42907662
-0.95321457,0.72337476,0.27823881,0.44279167
-0.96008838,0.59426311,0.2768605,0.40955017
-0.89795199,0.65784006,0.28947155,0.44025877
-0.99633945,0.67541251,0.26966174,0.42044986
-0.95976155,0.73163937,0.27692594,0.4432155
-0.97139012,0.58860607,0.27460351,0.40545559
-0.9523979,0.70671814,0.27840284,0.43888714
-0.94644823,0.70983486,0.27959967,0.4411211
-1.0124935,0.68697744,0.26649214,0.41933202
-0.93460086,0.71844086,0.28199223,0.44616944
-0.94803779,0.68359551,0.27927961,0.43427201
-0.98975343,0.68932605,0.27096078,0.42545301
-1.0111413,0.65029163,0.26675655,0.4107539
-0.98214688000000006,0.67441306,0.272466,0.42366798
-1.0637519,0.75175013,0.25659311,0.42262619
-1.0414463,0.7918661,0.26087102,0.43792682
-1.053256,0.72307872,0.25860035,0.41819749
-1.0052929,0.73617969,0.26790204,0.43312481
-1.0044534,0.73044157,0.26806673,0.43192247
-0.96028948,0.67059446,0.27682024,0.42807853
-0.93630248,0.63679663,0.28164783,0.42567829
-0.93582558,0.62262204,0.28174433,0.42233298
-0.93812467,0.64979863,0.28127931,0.42841373
-0.92251032,0.62927411,0.28444668,0.42721178
-0.94997429,0.64860523,0.27888999,0.42522284
-0.93964204,0.67846954,0.28097265,0.4350755
-0.92897035,0.67844087,0.28313365,0.43769318
-0.95649742,0.64205864,0.27758002,0.42203165
-0.91567446,0.66400038,0.28584007,0.43741149
-1.0078193,0.68159022,0.26740683,0.41915842
-0.92354438,0.69509966,0.28423625,0.4431359
-0.94988484,0.61328553,0.27890798,0.41663578
-0.95059504,0.61555356,0.27876517,0.41701446
-0.97798463,0.67131692,0.27329186,0.42392832
-0.97520427,0.74820013,0.2738444,0.44349142
-1.0064294,0.72161137,0.26767921,0.42927297
-0.97428151,0.75793917,0.27402793,0.44612439
-1.0027462,0.70470861,0.26840182,0.42603727
-0.97465418,0.70844405,0.2739538,0.43383774
-1.0363664,0.75691135,0.26185171,0.43058739
-1.0076385,0.75870461,0.26744226,0.43808593
-1.0171199,0.72761768,0.26558879,0.42812573
-1.0294638,0.79386712,0.26318806,0.44137175
-1.0453499,0.78106844,0.26011905,0.43431152
-1.0441656,0.72812309,0.26034704,0.42164053
-1.0068677,0.75662152,0.2675933,0.43776292
-0.99719764,0.76137722,0.26949275,0.4413166
-1.038906,0.83104651,0.26136114,0.44822143
-1.0378938,0.83003936,0.26155659,0.44822267
-1.0539268,0.80538128,0.25847176,0.43818153
-1.0462455,0.78320168,0.25994672,0.43461561
-1.0069964,0.80746299,0.26756807,0.45028149
-1.0054218,0.81771587,0.26787677,0.45321082
-1.0494933,0.7773526,0.25932242,0.43238164
-1.0002522,0.7334106,0.26889184,0.43368265
-1.0002522,0.7334106,0.26889184,0.43368265
-1.0180579,0.71118715,0.26540587,0.42387874
-0.98842797,0.74838971,0.27122269,0.44027692
-0.95873538,0.70337613,0.27713146,0.43650485
-0.93666091,0.69386029,0.28157532,0.4395963
-1.0015911,0.69802382,0.2686287,0.42468566
-1.0468333,0.75191182,0.25983367,0.42679945
-1.0164847,0.77461786,0.26571271,0.43982635
-0.89105809,0.59347461,0.29089152,0.42614833
-0.89435369,0.60582339,0.2902122,0.42836371
-0.87928187,0.67780714,0.29332661,0.44980101
-0.93400064,0.5556023,0.28211378,0.40651326
-0.9093856,0.5999389,0.28712558,0.4232498
-1.0097704,0.79387667,0.26702478,0.44623523
-1.0777725,0.79453151,0.25392778,0.42965938
-1.0491262,0.84748772000000006,0.25939293,0.44976049
-1.0785828,0.77707539,0.2537743,0.42518902
-1.0027929,0.73262652,0.26839266,0.43286625
-0.9453988,0.66009772,0.2798111,0.42915463
-0.96346507,0.6831147,0.27618497,0.43036788
-0.88705346,0.63829474,0.29171826,0.43812904
-1.0533357,0.82859497,0.25858507,0.44405012
-1.0684839,0.82713704,0.25569151,0.43995447
-1.0909442,0.84723986,0.25144052,0.43937367
-1.0909442,0.84723986,0.25144052,0.43937367
-1.0544325,0.76944422,0.25837485,0.42923126
-0.91758693,0.54444278,0.28544983,0.4077815
-0.91795402,0.58822638,0.28537496,0.41830689
-0.899043,0.61808633,0.2892472,0.43021925
-0.91384008,0.58830627,0.28621468,0.41932771
-0.91026619,0.63385797,0.28694537,0.43133457
-0.91486617,0.60042262,0.2860051,0.42203049
-0.9155271,0.60417987,0.28587016,0.42278593
-0.99642493,0.7054552,0.2696449,0.42776648
-0.96470251,0.69379108,0.27593766,0.43268335
-0.96470251,0.69379108,0.27593766,0.43268335
-0.98404236,0.67089216,0.27209043,0.422346
-0.98348662,0.65464456,0.27220051,0.41852239
-0.99654895,0.68962421,0.26962048,0.42386555
-0.99344874,0.74651051,0.27023143,0.43857725
-0.99800044,0.69304585,0.26933474,0.42434674
-0.99888268,0.74963314,0.26916116,0.43800822
-0.99343671,0.75976889,0.2702338,0.4418474
-1.0185461,0.70884747,0.26531071,0.42318831
-1.0053233,0.8280661,0.26789609,0.45580137
-1.0106728,0.72918628,0.26684821,0.43008938
-1.0445198,0.80455385,0.26027884,0.44029474
-0.9835177,0.78829814,0.27219435,0.45134952
-0.98123826,0.78210758,0.27264616,0.45038118
-1.0276469,0.6828919,0.26354057,0.41465491
-0.92277439000000006,0.69504335,0.28439293,0.44331202
-0.96185545,0.70827693,0.27650686,0.4369429
-1.0424038,0.75378024,0.26068644,0.42834087
-1.0237031,0.77839013,0.2643067,0.43897747
-1.0346124,0.70029446,0.26219087,0.41719037
-0.96607937,0.7454154,0.27566266,0.44505677
-0.99064744,0.69437475,0.27078421,0.42646891
-1.0173996,0.72415218,0.26553423,0.42720903
-0.94945368,0.66774994,0.27899471,0.43003613
-0.98842848,0.70643087,0.27122259,0.4299641
-0.9327438,0.65419809,0.28236839,0.43081035
-0.93551837,0.68657966,0.2818065,0.43808474
-0.98192002,0.65824013,0.27251098,0.41977919
-0.89105737,0.54979956,0.29089167,0.41550397
-0.91345175,0.65042416,0.28629402,0.43461961
-0.90820498,0.66404132,0.28736729,0.43926054
-0.96735435,0.63228905,0.27540815,0.41700867
-0.98144184,0.68475607,0.27260578,0.42636787
-0.97143211,0.68373134,0.27459515,0.42856685
-0.97143211,0.68373134,0.27459515,0.42856685
-1.0046109,0.63796864,0.26803583,0.40935262
-0.9429272,0.66423177,0.28030944,0.43077364
-0.9429272,0.66423177,0.28030944,0.43077364
-0.97591408,0.668989,0.27370327,0.42386547
-1.0116662,0.76568356,0.2666539,0.43881256
-1.0374858,0.7412622,0.26163541,0.42648092
-0.97956932,0.73805988,0.27297725,0.43991441
-0.98100493,0.73802421,0.27269243,0.43955193
-0.97496948,0.75113705,0.27389109,0.44427436
-0.94861722,0.73523689,0.279163,0.44685641
-1.0043857,0.72216306,0.26808002,0.42990895
-0.9291852,0.6436469,0.28309005,0.42909651
-0.9274766,0.60670254,0.28343694,0.42048711
-0.93573035,0.6493777,0.2817636,0.42889703
-0.95571484,0.67779411,0.27773697,0.43096361
-0.96657678,0.67133551,0.27556335,0.4267212
-0.98586737,0.66191916,0.27172912,0.41971384
-0.94636508,0.65481243,0.27961642,0.4276238
-0.95447748,0.60660503,0.27798526,0.41389844
-0.95705329,0.61893194,0.27746856,0.4162659
-0.93394485,0.65048434,0.28212508,0.42960559
-0.92560593,0.55509841,0.28381703,0.40841839
-0.93308692,0.63674983,0.28229886,0.42645315
-1.0317747,0.67676207,0.26274018,0.41216739
-0.95821067,0.70670865,0.27723659,0.43745384
-0.94298171,0.68053265,0.28029844,0.43476177
-0.98351054,0.67210281,0.27219577,0.42277117
-1.0031522,0.76204721,0.26832211,0.44001406
-1.0021525,0.75388409,0.26851843,0.43824975
-0.99999996,0.69328694,0.26894143,0.42391726
-0.97988482,0.65905208,0.27291464,0.42047282
-0.96850214,0.71733506,0.27517916,0.43753626
-0.99487379,0.71566879,0.26995049,0.43064869
-0.93277345,0.64043272,0.28236238,0.42743091
-0.96148959,0.66808679,0.27658005,0.42717101
-1.023176,0.72456613,0.26440922,0.42589735
-1.0397897,0.74248136,0.26119058,0.42621562
-0.97202809,0.74296381,0.27447645,0.44298302
-0.96269927,0.69347708,0.27633808,0.43309806
-0.91861624,0.64658151,0.28523993,0.43240764
-1.0009643,0.73083008,0.26875188,0.43287415
-0.98740787,0.69311759,0.27142438,0.42695386
-0.95150972,0.70023391,0.27858131,0.4375095
-1.0039024,0.73685715,0.26817486,0.43363263
-0.95058671,0.668028,0.27876684,0.42982659
-0.99044359,0.62332493,0.27082447,0.40923744
-0.96070165,0.63632742,0.27673773,0.41961009
-0.93786251,0.7207616,0.28133231,0.44593695
-0.97641186,0.6112598,0.27360433,0.40971297
-0.90899898,0.63815142,0.28720472,0.43269903
-1.0590574,0.76096724,0.25748962,0.42602442
-1.059704,0.78557976,0.25736603,0.43189488
-0.9956999,0.74350849,0.26978771,0.43728419
-0.93319964,0.65129007,0.28227603,0.42998568
-0.91270047,0.64797118,0.28644756,0.4342015
