participant,block_number,trial_number,choice,E1,E2,E3
60e46e6f6bc0c2cdf5d077ce,4,9,1,-0.627461504100393,-1.0414778090324863,-0.6258781057922589
60e46e6f6bc0c2cdf5d077ce,4,10,3,-1.2422128653004743,-0.6598767615219725,-0.40763355726301487
60e46e6f6bc0c2cdf5d077ce,4,11,3,-0.7942423258534977,-0.4245834763079903,-1.1315384096304921
60e46e6f6bc0c2cdf5d077ce,4,12,3,-0.5149717881084772,-0.2759827501519364,-1.5693865727190897
60e46e6f6bc0c2cdf5d077ce,4,13,2,-0.3350827236954984,-0.1770518852946698,-1.8477885778408347
60e46e6f6bc0c2cdf5d077ce,4,14,1,-0.21579053612313842,-0.9861636586710749,-1.1782401217134493
60e46e6f6bc0c2cdf5d077ce,4,15,3,-1.0123771292790036,-0.6178846153189459,-0.7627045195111559
60e46e6f6bc0c2cdf5d077ce,4,16,3,-0.6360275374688682,-0.39666482423359567,-1.3550991135595798
60e46e6f6bc0c2cdf5d077ce,4,17,2,-0.4079483208032883,-0.2573946188701293,-1.7267562419639524
60e46e6f6bc0c2cdf5d077ce,4,18,2,-0.2649204750670212,-1.0342248984938585,-1.0951863447351449
60e46e6f6bc0c2cdf5d077ce,4,19,1,-0.16959391700872684,-1.495323469379851,-0.707168800335739
60e46e6f6bc0c2cdf5d077ce,4,20,2,-0.9833565438458567,-0.9515522830458446,-0.45530091095258607
60e46e6f6bc0c2cdf5d077ce,4,21,3,-0.6155198556508099,-1.4728379527943996,-0.29510782726522267
60e46e6f6bc0c2cdf5d077ce,4,22,2,-0.39493334685706627,-0.9355709704050016,-1.0806056147937362
60e46e6f6bc0c2cdf5d077ce,4,23,1,-0.2561405419501352,-1.461640794604703,-0.6725969511712497
60e46e6f6bc0c2cdf5d077ce,4,24,1,-1.034498125907659,-0.9301905924513514,-0.43287289691851616
60e46e6f6bc0c2cdf5d077ce,4,25,2,-1.497169834743049,-0.6012943960291985,-0.27811277992528893
60e46e6f6bc0c2cdf5d077ce,5,1,2,0,0,0
60e46e6f6bc0c2cdf5d077ce,5,2,1,0,-0.8167260461260696,0
60e46e6f6bc0c2cdf5d077ce,5,3,2,-0.8167260461260696,-0.519515201643892,0
60e46e6f6bc0c2cdf5d077ce,5,4,3,-0.519515201643892,-1.1600407322040942,0
60e46e6f6bc0c2cdf5d077ce,5,5,2,-0.33830303168765374,-0.7476163547630207,-0.8167260461260696
60e46e6f6bc0c2cdf5d077ce,5,6,3,-0.22145680388217054,-1.3168975376124814,-0.519515201643892
60e46e6f6bc0c2cdf5d077ce,5,7,3,-0.14433400333551083,-0.848197821511214,-1.1600407322040942
60e46e6f6bc0c2cdf5d077ce,5,8,1,-0.09334567669839747,-0.5495942813442706,-1.5678122298783355
60e46e6f6bc0c2cdf5d077ce,5,9,2,-0.9031846847186358,-0.35747932744569993,-1.011430276443789
60e46e6f6bc0c2cdf5d077ce,5,10,3,-0.5758997525057996,-1.101501013886924,-0.6581400355941842
60e46e6f6bc0c2cdf5d077ce,5,11,2,-0.37015378672515015,-0.6915199039696174,-1.2808425003278259
60e46e6f6bc0c2cdf5d077ce,5,12,3,-0.24010637473338098,-1.309382025463045,-0.8161471172094645
60e46e6f6bc0c2cdf5d077ce,5,13,1,-0.15519205619549953,-0.8282010786388568,-1.387154684664731
60e46e6f6bc0c2cdf5d077ce,5,14,1,-0.9579685570668006,-0.5361925175889242,-0.8797317999714602
60e46e6f6bc0c2cdf5d077ce,5,15,2,-1.4424616076567478,-0.34482946140638715,-0.5688205063325129
60e46e6f6bc0c2cdf5d077ce,5,16,3,-0.922058441737653,-1.1024300408487846,-0.3665498584200933
